,continent,year,gdpPercap,lifeExp,population
1,Asia,1960,113.8028579,45.9717643,1689887560
2,Europe,1960,445.2099113,68.30041928,605328938
3,Africa,1960,107.7291353,41.71064467,284744277
4,Oceania,1960,1603.386309,64.89117721,3491475
5,North America,1960,2233.688385,66.14773392,270317262
6,South America,1960,253.4386174,56.05975454,148774309
7,Australia,1960,1531.993784,66.0835938,12287154
8,Asia,1961,110.9187944,46.61442141,1707893778
9,Europe,1961,480.5501633,68.66976804,611281315
10,Africa,1961,107.5207751,42.17596518,291691204
11,Oceania,1961,1618.902511,64.81697706,3574676
12,North America,1961,2266.292043,66.61977724,275762279
13,South America,1961,260.2699218,56.49335315,152843390
14,Australia,1961,1588.44613,66.28875797,12534947
15,Asia,1962,112.9434637,47.26950645,1737278660
16,Europe,1962,519.8712701,68.74087089,617460356
17,Africa,1962,112.2533746,42.63025896,298886434
18,Oceania,1962,1687.418122,65.09730906,3674491
19,North America,1962,2382.452741,66.6330482,281088606
20,South America,1962,456.6114619,56.91854171,157042317
21,Australia,1962,1571.488678,66.36354442,12836687
22,Asia,1963,123.8549872,48.03178119,1778533398
23,Europe,1963,566.7193025,69.00250699,623684171
24,Africa,1963,126.8758864,43.072844,306333320
25,Oceania,1963,1798.537235,65.22018593,3763276
26,North America,1963,2473.651902,66.60319735,286344380
27,South America,1963,432.6727034,57.33597574,161346988
28,Australia,1963,1665.755213,66.42796878,13089303
29,Asia,1964,139.0845355,49.02343803,1819943934
30,Europe,1964,621.9422313,69.4034304,629822487
31,Africa,1964,122.2093111,43.50506854,314034636
32,Oceania,1964,1922.708421,65.35073132,3856111
33,North America,1964,2618.460548,66.88999366,291593554
34,South America,1964,461.7310023,57.74585346,165723314
35,Australia,1964,1804.265468,66.50349904,13353340
36,Asia,1965,151.4063021,50.11891641,1862922198
37,Europe,1965,670.8386139,69.53515607,635727575
38,Africa,1965,151.0050044,43.92733981,321994177
39,Oceania,1965,1558.753049,65.36895028,3937556
40,North America,1965,2796.799781,67.02882898,296635761
41,South America,1965,485.1947946,58.15301194,170144849
42,Australia,1965,1930.883405,66.58581825,13624206
43,Asia,1966,155.6577381,51.41347976,1909789798
44,Europe,1966,721.4173434,69.73364119,640643846
45,Africa,1966,156.5670172,44.34157731,330222162
46,Oceania,1966,1589.393892,65.39960894,4023045
47,North America,1966,3020.116641,67.11018452,301561298
48,South America,1966,517.5663872,58.56180367,174606871
49,Australia,1966,1985.607385,66.68231466,13940109
50,Asia,1967,168.029853,52.57132764,1956393100
51,Europe,1967,769.7502015,69.83802667,645381691
52,Africa,1967,154.2845955,44.75067942,338726193
53,Oceania,1967,1594.372035,65.7350935,4108369
54,North America,1967,3149.474728,67.43506628,306401888
55,South America,1967,504.0709204,58.97417685,179111892
56,Australia,1967,2182.045877,66.8097742,14143977
57,Asia,1968,183.83135,53.65091621,2003807954
58,Europe,1968,795.4764162,69.88430722,649870512
59,Africa,1968,162.2047287,45.15769431,347505132
60,Oceania,1968,1403.468905,65.57809961,4168765
61,North America,1968,3392.688204,67.13592563,311105365
62,South America,1968,525.4008475,59.39154484,183650071
63,Australia,1968,2301.669603,66.95055062,14412595
64,Asia,1969,204.4323656,54.63796326,2055162955
65,Europe,1969,867.1280871,69.86131991,654243206
66,Africa,1969,179.9128547,45.56519399,356555045
67,Oceania,1969,1531.229129,65.88344999,4230869
68,North America,1969,3623.787456,67.59261817,315817868
69,South America,1969,578.0208217,59.81160849,188211827
70,Australia,1969,2526.587432,67.09700862,14727548
71,Asia,1970,229.055156,55.51284597,2106985757
72,Europe,1970,1269.80073,70.14076956,658102514
73,Africa,1970,203.9732091,45.97663299,365878971
74,Oceania,1970,196.5473316,65.84374823,4309524
75,North America,1970,3803.056924,67.90727735,321046607
